"No.","Time","Source","Destination","Protocol","Length","Info"
"111","0.011499000","192.168.1.7","255.255.255.255","UDP","1066","Source port: eims-admin  Destination port: discard"
"112","0.011501000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4200  Destination port: discard"
"113","0.011499000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4201  Destination port: discard"
"114","0.011497000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4202  Destination port: discard"
"115","0.011504000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4203  Destination port: discard"
"116","0.011497000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4204  Destination port: discard"
"117","0.011491000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4205  Destination port: discard"
"118","0.011508000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4206  Destination port: discard"
"119","0.011494000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4207  Destination port: discard"
"120","0.011495000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4208  Destination port: discard"
"121","0.011497000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4209  Destination port: discard"
"122","0.011502000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4210  Destination port: discard"
"123","0.011512000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4211  Destination port: discard"
"124","0.011493000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4212  Destination port: discard"
"125","0.011493000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4213  Destination port: discard"
"126","0.011496000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4214  Destination port: discard"
"127","0.011491000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4215  Destination port: discard"
"128","0.011494000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4216  Destination port: discard"
"129","0.011492000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4217  Destination port: discard"
"130","0.011500000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4218  Destination port: discard"
"131","0.011497000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4219  Destination port: discard"
"132","0.011497000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4220  Destination port: discard"
"133","0.011502000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4221  Destination port: discard"
"134","0.011499000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4222  Destination port: discard"
"135","0.011497000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4223  Destination port: discard"
"136","0.011497000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4224  Destination port: discard"
"137","0.011501000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4225  Destination port: discard"
"138","0.011497000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4226  Destination port: discard"
"139","0.011494000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4227  Destination port: discard"
"140","0.011504000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4228  Destination port: discard"
"141","0.011493000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4229  Destination port: discard"
"142","0.011494000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4230  Destination port: discard"
"143","0.011501000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4231  Destination port: discard"
"144","0.011504000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4232  Destination port: discard"
"145","0.011497000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4233  Destination port: discard"
"146","0.011497000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4234  Destination port: discard"
